Year,Month,Median montly series,Season
1781,1,58.5,Winter
1781,2,106.3,Winter
1781,3,16.6,Spring
1781,4,67.3,Spring
1781,5,58.5,Spring
1781,6,105.3,Summer
1781,7,70.2,Summer
1781,8,131.6,Summer
1781,9,99.4,Autumn
1781,10,23.4,Autumn
1781,11,163.8,Autumn
1781,12,74.1,Winter
1782,1,115.7,Winter
1782,2,29.2,Winter
1782,3,78.0,Spring
1782,4,136.4,Spring
1782,5,142.5,Spring
1782,6,59.7,Summer
1782,7,86.5,Summer
1782,8,193.7,Summer
1782,9,148.6,Autumn
1782,10,113.3,Autumn
1782,11,57.3,Autumn
1782,12,57.3,Winter
1783,1,105.4,Winter
1783,2,86.9,Winter
1783,3,57.6,Spring
1783,4,16.3,Spring
1783,5,113.0,Spring
1783,6,106.5,Summer
1783,7,94.5,Summer
1783,8,141.2,Summer
1783,9,148.8,Autumn
1783,10,89.1,Autumn
1783,11,89.1,Autumn
1783,12,38.0,Winter
1784,1,80.7,Winter
1784,2,48.8,Winter
1784,3,54.4,Spring
1784,4,87.3,Spring
1784,5,74.1,Spring
1784,6,144.5,Summer
1784,7,109.8,Summer
1784,8,111.6,Summer
1784,9,59.1,Autumn
1784,10,17.8,Autumn
1784,11,89.1,Autumn
1784,12,61.0,Winter
1785,1,64.9,Winter
1785,2,21.6,Winter
1785,3,17.1,Spring
1785,4,23.4,Spring
1785,5,36.1,Spring
1785,6,43.3,Summer
1785,7,77.5,Summer
1785,8,196.5,Summer
1785,9,126.2,Autumn
1785,10,123.5,Autumn
1785,11,102.8,Autumn
1785,12,68.5,Winter
1786,1,90.1,Winter
1786,2,32.0,Winter
1786,3,35.8,Spring
1786,4,25.2,Spring
1786,5,83.3,Spring
1786,6,70.7,Summer
1786,7,63.9,Summer
1786,8,130.7,Summer
1786,9,176.3,Autumn
1786,10,73.6,Autumn
1786,11,83.3,Autumn
1786,12,103.6,Winter
1787,1,25.8,Winter
1787,2,73.9,Winter
1787,3,82.9,Spring
1787,4,43.7,Spring
1787,5,51.5,Spring
1787,6,69.4,Summer
1787,7,171.3,Summer
1787,8,105.3,Summer
1787,9,52.6,Autumn
1787,10,211.6,Autumn
1787,11,108.6,Autumn
1787,12,123.2,Winter
1788,1,67.6,Winter
1788,2,64.1,Winter
1788,3,57.2,Spring
1788,4,51.6,Spring
1788,5,36.9,Spring
1788,6,44.6,Summer
1788,7,115.7,Summer
1788,8,68.3,Summer
1788,9,77.4,Autumn
1788,10,53.0,Autumn
1788,11,42.5,Autumn
1788,12,18.1,Winter
1789,1,87.6,Winter
1789,2,114.4,Winter
1789,3,29.2,Spring
1789,4,71.8,Spring
1789,5,96.1,Spring
1789,6,137.5,Summer
1789,7,144.8,Summer
1789,8,28.0,Summer
1789,9,110.8,Autumn
1789,10,154.6,Autumn
1789,11,97.4,Autumn
